id,family,citation_key,title,authors,year,venue,publication_status,primary_url,doi_or_identifier,code_url,code_license,benchmark_or_task,mechanism,exact_overlap,exact_non_overlap,sparkbrain_claims_challenged,novelty_verdict,review_status,access_status,reviewer,reviewed_date,notes
PA-001,"cognitive architecture / global workspace","BaarsFranklin2007","An architectural model of conscious and unconscious brain functions: Global Workspace Theory and IDA","Bernard J. Baars; Stan Franklin",2007,"Neural Networks 20(9):955-961","peer-reviewed","https://doi.org/10.1016/j.neunet.2007.09.013","10.1016/j.neunet.2007.09.013",,"not checked","architecture paper","distributed codelets; coalitions compete for a capacity-limited global workspace; broadcast","codelets; coalitions; competition; global workspace; broadcast","does not establish SparkBrain evidence-ID semantics or residual-recovery metrics","G1; G2; G4; G6","strong_near_duplicate","reviewed","primary page verified","Codex","2026-08-23","Strongest cognitive-architecture counterexample; do not describe coalition-to-broadcast alone as novel."
PA-002,"global neuronal workspace","DehaeneKerszbergChangeux1998","A neuronal model of a global workspace in effortful cognitive tasks","Stanislas Dehaene; Michel Kerszberg; Jean-Pierre Changeux",1998,"Proceedings of the National Academy of Sciences 95(24):14529-14534","peer-reviewed","https://doi.org/10.1073/pnas.95.24.14529","10.1073/pnas.95.24.14529",,"not checked","computational model","competition; long-range workspace; ignition","competition; ignition; workspace broadcast","does not define evidence provenance or an application-level belief-revision benchmark","G2; G4; G7","known_component","reviewed","primary DOI verified","Codex","2026-08-23","Ignition and workspace should be framed as inherited concepts, not original theory."
PA-003,"spiking global workspace","Shanahan2008","A spiking neuron model of cortical broadcast and competition","Murray Shanahan",2008,"Consciousness and Cognition 17(1):288-303","peer-reviewed","https://pubmed.ncbi.nlm.nih.gov/17317220/","10.1016/j.concog.2006.12.005",,"not checked","spiking simulation","recurrent spiking workspace; mutual inhibition; top-down amplification; broadcast","spiking competition and broadcast","does not evaluate learned evidence-based belief revision","G2; G7","known_component","reviewed","PubMed record verified","Codex","2026-08-23","A spiking backend by itself is not a contribution."
PA-004,"dynamic field theory","JohnsonSpencerSchoner2008","Moving to higher ground: The dynamic field theory and the dynamics of visual cognition","Jeffrey S. Johnson; John P. Spencer; Gregor Schoner",2008,"New Ideas in Psychology 26(2):227-251","peer-reviewed","https://pubmed.ncbi.nlm.nih.gov/19173013/","10.1016/j.newideapsych.2007.07.007",,"not checked","visual cognition and working-memory modelling","self-sustained peaks; excitation; inhibition; competition; capacity","persistent competing activity; local excitation and inhibition; working memory","does not define discrete evidence IDs or a workspace-level ignition API","G1; G3; G4","known_component","reviewed","PubMed record verified","Codex","2026-08-23","Residual activity must be evaluated against dynamic-field alternatives."
PA-005,"adaptive resonance theory","CarpenterGrossberg1987","ART 2: self-organization of stable category recognition codes for analog input patterns","Gail A. Carpenter; Stephen Grossberg",1987,"Applied Optics 26(23):4919-4930","peer-reviewed","https://pubmed.ncbi.nlm.nih.gov/20523470/","10.1364/AO.26.004919",,"not checked","online category learning","top-down expectation; vigilance; match-reset; parallel search","sequential hypothesis testing; stability-plasticity; reset after mismatch","does not retain multiple explicit losing beliefs with evidence provenance","G1; G3; G4","partial_overlap","reviewed","PubMed record verified","Codex","2026-08-23","No-ignition and reset must be distinguished from ART search/reset."
PA-006,"modular recurrent learning","Goyal2021","Recurrent Independent Mechanisms","Anirudh Goyal; Alex Lamb; Jordan Hoffmann; Shagun Sodhani; Sergey Levine; Yoshua Bengio; Bernhard Schölkopf",2021,"International Conference on Learning Representations","peer-reviewed","https://openreview.net/forum?id=mLcmdlEUxy-","OpenReview:mLcmdlEUxy","https://github.com/anirudh9119/RIMs","no LICENSE file found in official author repository on 2026-08-23","compositional generalization experiments","sparse attention bottleneck; selective recurrent-module updates","selective module activation; sparse communication","does not represent evidence provenance or coalition-level epistemic scoring","G5; G6; CL-008","known_component","reviewed","OpenReview final version and author repository verified","Codex","2026-08-23","Top-k selective updates and learned specialization are not novel; repository reuse is not assumed without a license."
PA-007,"shared global workspace","Goyal2022","Coordination Among Neural Modules Through a Shared Global Workspace","Anirudh Goyal et al.",2022,"International Conference on Learning Representations","peer-reviewed","https://openreview.net/forum?id=XzTtHjgPDsT","OpenReview:XzTtHjgPDsT",,"not checked","modular learning experiments","specialist modules compete to write to and read from a shared bandwidth-limited workspace","modular competition; capacity-limited shared workspace","does not provide SparkBrain's explicit evidence graph and residual loser evaluation","G1; G2; G4; G6","strong_near_duplicate","reviewed","OpenReview final version verified","Codex","2026-08-23","Strongest modern ML counterexample for shared-workspace framing."
PA-008,"temporal graph learning","Rossi2020","Temporal Graph Networks for Deep Learning on Dynamic Graphs","Emanuele Rossi; Ben Chamberlain; Fabrizio Frasca; Davide Eynard; Federico Monti; Michael Bronstein",2020,"ICML 2020 workshop / GRL+","workshop paper","https://arxiv.org/abs/2006.10637","arXiv:2006.10637","https://github.com/twitter-research/tgn","Apache-2.0; official repository license verified 2026-08-23","dynamic graph prediction","timestamped events; persistent node memory; graph operators","event sequence processing and persistent state","does not establish local recomputation avoidance or cognitive belief semantics","G1; G5","partial_overlap","reviewed","arXiv primary preprint and official repository verified","Codex","2026-08-23","Keep publication status as workshop/preprint; official code exists under Apache-2.0."
PA-009,"event-driven graph execution","Schaefer2022","AEGNN: Asynchronous Event-Based Graph Neural Networks","Simon Schaefer; Daniel Gehrig; Davide Scaramuzza",2022,"CVPR 2022","peer-reviewed","https://openaccess.thecvf.com/content/CVPR2022/html/Schaefer_AEGNN_Asynchronous_Event-Based_Graph_Neural_Networks_CVPR_2022_paper.html","CVPR:2022-5547","https://github.com/uzh-rpg/aegnn","MIT; official repository license verified 2026-08-23","event-camera classification and detection","affected-node-only sparse recomputation on evolving event graphs","event-triggered local graph update; computation accounting","does not model explicit competing beliefs or epistemic coalitions","G5","partial_overlap","reviewed","CVPR proceedings page and official repository verified","Codex","2026-08-23","Strong counterexample: G5 requires audited differences; official code is CUDA-oriented and does not satisfy SparkBrain's CPU contract."
PA-010,"predictive coding","Friston2005","A theory of cortical responses","Karl Friston",2005,"Philosophical Transactions of the Royal Society B 360(1456):815-836","peer-reviewed","https://pubmed.ncbi.nlm.nih.gov/15937014/","10.1098/rstb.2005.1622",,"not checked","theory and neurobiological evidence","hierarchical reciprocal inference; prediction-error minimization","prediction error; recurrent inference","does not provide a coalition/workspace implementation or SparkBrain metrics","G1; G2","known_component","reviewed","PubMed record verified","Codex","2026-08-23","Prediction-error activation is a borrowed mechanism."
